taxid,ko
2560582,K19247
2560645,K19247
11216,K19247
2560525,K19247
12730,K19247
11191,K24548
11215,K24548
1357321,K24548
1529392,K24548
929831,K24548
11216,K24548
12730,K24548
1167696,K21316
38766,K21316
211977,K21316
249583,K21316
38767,K21316
11292,K21316
1072176,K21316
746543,K21316
249584,K21316
237716,K21316
642022,K21316
1213198,K21316
1846259,K21316
12538,K21316
57482,K21316
57483,K21316
2026129,K21316
90961,K21316
11272,K24590
290008,K24590
11277,K24590
11280,K24590
1046251,K24590
198833,K24590
1972570,K24590
1972567,K24590
1972569,K24590
50713,K24590
11277,K24590
239239,K24590
11274,K24590
1972566,K24590
1972568,K24590
1972565,K24590
204987,K24545
2560317,K24545
862945,K24545
2560315,K24545
2560320,K24545
2560327,K24545
2560326,K24545
2560310,K24545
1401445,K24545
1983777,K24545
1928005,K24545
2006690,K24545
2006072,K24545
2006073,K24545
2006074,K24545
2560316,K24545
2560318,K24545
2560319,K24545
2560313,K24545
2560314,K24545
380160,K24588
318836,K24588
318834,K24588
318835,K24588
1229186,K24588
1550518,K24588
1272960,K24588
31612,K24588
11303,K24588
37296,K21670
37296,K21667
37296,K21664
37296,K21663
37296,K21660
37296,K21653
37296,K21654
37296,K21652
37296,K21858
37296,K21661
37296,K21662
37296,K21657
37296,K21649
37296,K21651
37296,K21860
37296,K21669
37296,K21658
37296,K21659
37296,K21656
12657,K21861
1452540,K21861
1780507,K21861
37296,K21861
154334,K21861
37296,K21650
37296,K21859
37296,K21665
37296,K21666
37296,K21655
45455,K25244
10376,K25244
12509,K25244
106331,K25244
45455,K19455
10376,K19455
12509,K19455
45455,K22972
10376,K22972
12509,K22972
45455,K25246
10376,K25246
12509,K25246
106331,K25246
45455,K25247
10376,K25247
12509,K25247
106331,K25247
45455,K25245
45455,K25245
10376,K25245
12509,K25245
106331,K25245
45455,K25248
10376,K25248
12509,K25248
106331,K25248
50290,K21533
1535247,K21533
12657,K21533
10264,K21533
648998,K21533
1579460,K21533
10371,K21533
50292,K21533
1780507,K21533
10258,K21533
129727,K21533
45455,K21533
10359,K21533
1919083,K21533
187984,K21533
2059380,K21533
10376,K21533
10398,K21533
106332,K21533
2035399,K21533
12509,K21533
376852,K21533
376849,K21533
10266,K21533
45455,K22974
10376,K22974
12509,K22974
45455,K19461
12509,K19461
45455,K19457
10376,K19457
12509,K19457
45455,K21855
10376,K21855
12509,K21855
45455,K21856
10376,K21856
12509,K21856
45455,K19458
12509,K19458
45455,K19456
10376,K19456
12509,K19456
45455,K19459
10376,K19459
12509,K19459
10376,K19460
12509,K19460
45455,K23074
10376,K23074
12509,K23074
45455,K19454
10376,K19454
12509,K19454
45455,K19463
10376,K19463
12509,K19463
45455,K19462
10376,K19462
12509,K19462
